Isin,Mkt,Codice,Bloomberg Code,VOLUME_AVG_30D
LU0252634307,ETF,DAXLEV,DAXLEV IM Equity,"12,874.87"
IE0032523478,ETF,IBCX,IBCX IM Equity,"12,731.73"
IE00BM67HN09,ETF,XDWS,XDWS IM Equity,"12,707.77"
IE00B53L4X51,ETF,CSMIB,CSMIB IM Equity,"12,680.17"
JE00B8NCRX09,ETF,CH3L,CH3L IM Equity,"12,630.80"
DE0005933931,ETF,EXS1,EXS1 IM Equity,"12,487.20"
FR0010326256,ETF,TUR,TUR IM Equity,"12,442.07"
LU1834988864,ETF,UTI,UTI IM Equity,"12,375.73"
IE00BZ048462,ETF,FLTR,FLTR IM Equity,"12,329.43"
IE00BYM31M36,ETF,WING,WING IM Equity,"12,227.33"
LU1681044480,ETF,AASI,AASI IM Equity,"12,205.13"
LU1440654330,ETF,CHIN,CHIN IM Equity,"11,797.20"
IE00B910VR50,ETF,EURO,EURO IM Equity,"11,659.47"
LU1109942653,ETF,XHYG,XHYG IM Equity,"11,602.57"
IE00B5B5TG76,ETF,SDJE5D,SDJE5D IM Equity,"11,581.07"
LU1681045024,ETF,ALAT,ALAT IM Equity,"11,548.30"
LU1523099700,ETF,BUND1S,BUND1S IM Equity,"11,511.37"
IE00B1FZS913,ETF,IBGL,IBGL IM Equity,"11,355.83"
IE00BGHQ0G80,ETF,XMAW,XMAW IM Equity,"11,260.03"
JE00B3SBYQ91,ETF,USEU,USEU IM Equity,"10,941.43"
DE000VN9ABM1,SDX,FXAU7L,LW535152@SEDX Corp,"10,801.70"
IT0001206769,MTA,SOL,SOL IM Equity,"10,663.30"
LU0942970103,ETF,XBAG,XBAG IM Equity,"10,576.80"
LU1287023185,ETF,EM710,EM710 IM Equity,"10,545.77"
IE00B1FZS806,ETF,IBGM,IBGM IM Equity,"10,529.00"
LU0839027447,ETF,XDJP,XDJP IM Equity,"10,528.67"
LU0290358497,ETF,XEON,XEON IM Equity,"10,482.50"
IT0005027286,SDX,AL2728,AD311928@EXCH Corp,"10,429.13"
LU1829218319,ETF,FLOT,FLOT IM Equity,"10,296.80"
LU1829218319,ETF,FLOT,FLOT IM Equity,"10,296.80"
IE0032895942,ETF,LQDE,LQDE IM Equity,"10,228.13"
LU0446734872,ETF,CANEUA,CANEUA IM Equity,"10,088.47"
IE00BP3QZ825,ETF,IWMO,IWMO IM Equity,"10,065.20"
LU0942970798,ETF,XBAE,XBAE IM Equity,"10,003.23"
IE00B1TXLS18,ETF,IUKP,IUKP IM Equity,"9,691.13"
LU1598691217,ETF,BTP10,BTP10 IM Equity,"9,660.80"
LU1650490474,ETF,EMG,EMG IM Equity,"9,658.90"
IE0032077012,ETF,EQQQ,EQQQ IM Equity,"9,651.03"
JE00B78CGV99,ETF,BRNT,BRNT IM Equity,"9,612.20"
IT0005056020,SDX,AL5602,AE217235@EXCH Corp,"9,609.27"
IE00B1W57M07,ETF,BR50,BR50 IM Equity,"9,595.57"
IE00B6YX5D40,ETF,USDV,USDV IM Equity,"9,594.03"
FR0011758085,ETF,ITAMID,ITAMID IM Equity,"9,431.57"
JE00B6TK3K31,ETF,ECOF,ECOF IM Equity,"9,394.40"
FR0010361675,ETF,HK,HK IM Equity,"9,373.03"
DE000VN9ATT8,SDX,FHG17S,QZ572656@SEDX Corp,"9,272.67"
LU0292106167,ETF,XDBC,XDBC IM Equity,"9,271.67"
FR0010312124,ETF,AEJ,AEJ IM Equity,"9,124.10"
LU1681040900,ETF,USFRN,USFRN IM Equity,"8,701.20"
IE00B6YX5F63,ETF,GOVS,GOVS IM Equity,"8,631.90"
IE00B1FZS467,ETF,INFR,INFR IM Equity,"8,628.17"
JE00B2NFTC05,ETF,LALU,LALU IM Equity,"8,497.53"
LU0274212538,ETF,XMIB,XMIB IM Equity,"8,492.13"
IE00B6YX5B26,ETF,EMDV,EMDV IM Equity,"8,480.03"
IE00B74DQ490,ETF,HYLD,HYLD IM Equity,"8,407.77"
JE00B97D3F07,ETF,CH3S,CH3S IM Equity,"8,356.60"
LU0274209740,ETF,XMJP,XMJP IM Equity,"8,353.50"
DE000HV40B64,SDX,U7SMIB,AP602127@SEDX Corp,"8,301.67"
FR0010527275,ETF,WAT,WAT IM Equity,"8,282.93"
IE00B14X4Q57,ETF,IBGS,IBGS IM Equity,"8,154.53"
LU1459801434,ETF,TIP1D,TIP1D IM Equity,"8,148.53"
IE00BP3QZB59,ETF,IWVL,IWVL IM Equity,"8,056.30"
LU0322252924,ETF,XFVT,XFVT IM Equity,"8,015.80"
JE00B89ZNT11,ETF,FR3L,FR3L IM Equity,"8,006.87"
IE00B58HMN42,ETF,CCEUAS,CCEUAS IM Equity,"7,995.17"
LU1287023003,ETF,EM57,EM57 IM Equity,"7,704.27"
LU0446734526,ETF,PACEUA,PACEUA IM Equity,"7,582.77"
IE00B1FZS574,ETF,ITKY,ITKY IM Equity,"7,402.50"
DE000HV41J16,SDX,UI370X,AU653191@SEDX Corp,"7,301.63"
XS1101724869,ETF,MIB3S,MIB3S IM Equity,"7,294.03"
LU1324510525,ETF,UST1F,UST1F IM Equity,"7,095.30"
FGBL201906,Eurex,,RXM9 Comdty,"6,935.27"
FR0010652867,ETF,APEX,APEX IM Equity,"6,931.80"
IE00BP9F2J32,ETF,LDCE,LDCE IM Equity,"6,924.97"
LU0290356954,ETF,X35E,X35E IM Equity,"6,619.40"
JE00BYQY4341,ETF,3CUS,3CUS IM Equity,"6,570.33"
LU0411075376,ETF,XLDX,XLDX IM Equity,"6,510.57"
LU1829219127,ETF,CRPE,CRPE IM Equity,"6,428.77"
LU1829219127,ETF,CRPE,CRPE IM Equity,"6,428.77"
